time,fuel_level,vehicle_speed,engine_speed
1.52E+12,3.392,3.392,928
1.52E+12,4.088,4.088,904
1.52E+12,0,0,1276
1.52E+12,7.976,7.976,970
1.52E+12,12.248,12.248,1354
1.52E+12,9.4,9.4,1049
1.52E+12,8.904,8.904,936
1.52E+12,2.8,2.8,918
1.52E+12,0,0,923
1.52E+12,0,0,906
1.52E+12,0,0,912
1.52E+12,0,0,916
1.52E+12,0,0,911
1.52E+12,0,0,916
1.52E+12,0,0,917
1.52E+12,0,0,913
1.52E+12,0,0,912
1.52E+12,0,0,914
1.52E+12,0,0,914
1.52E+12,0,0,915
1.52E+12,0,0,921
1.52E+12,0,0,914
1.52E+12,0,0,915
1.52E+12,0,0,923
1.52E+12,0,0,917
1.52E+12,0,0,909
1.52E+12,0,0,910
1.52E+12,0,0,914
1.52E+12,0,0,913
1.52E+12,0,0,919
1.52E+12,0,0,908
1.52E+12,0,0,908
1.52E+12,0,0,911
1.52E+12,0,0,907
1.52E+12,0,0,913
1.52E+12,0,0,913
1.52E+12,0,0,900
1.52E+12,0,0,910
1.52E+12,0,0,909
1.52E+12,0,0,907
1.52E+12,0,0,913
1.52E+12,0,0,909
1.52E+12,0,0,908
1.52E+12,0,0,908
1.52E+12,0,0,908
1.52E+12,2.104,2.104,889
1.52E+12,6.808,6.808,1017
1.52E+12,8.60003125,8.60003125,909
1.52E+12,8.86403125,8.86403125,910
1.52E+12,8.35203125,8.35203125,911
1.52E+12,4.65603125,4.65603125,909
1.52E+12,0.52003125,0.52003125,909
1.52E+12,2.24003125,2.24003125,913
1.52E+12,4.64803125,4.64803125,885
1.52E+12,6.10403125,6.10403125,916
1.52E+12,2.33603125,2.33603125,912
1.52E+12,3.13E-05,3.13E-05,909
1.52E+12,3.13E-05,3.13E-05,902
1.52E+12,3.13E-05,3.13E-05,907
1.52E+12,3.13E-05,3.13E-05,901
1.52E+12,3.13E-05,3.13E-05,901
1.52E+12,1.76003125,1.76003125,957
1.52E+12,7.08003125,7.08003125,989
1.52E+12,9.8480625,9.8480625,1296
1.52E+12,18.0880625,18.0880625,2408
1.52E+12,19.0000625,19.0000625,1254
1.52E+12,20.18409375,20.18409375,1324
1.52E+12,21.27209375,21.27209375,1336
1.52E+12,22.15209375,22.15209375,1404
1.52E+12,19.096125,19.096125,1252
1.52E+12,22.536125,22.536125,1470
1.52E+12,22.400125,22.400125,1378
1.52E+12,20.04015625,20.04015625,1300
1.52E+12,21.46415625,21.46415625,1339
1.52E+12,18.09615625,18.09615625,1112
1.52E+12,20.8321875,20.8321875,1422
1.52E+12,27.4561875,27.4561875,1843
1.52E+12,28.33621875,28.33621875,954
1.52E+12,28.81621875,28.81621875,1207
1.52E+12,28.65625,28.65625,1192
1.52E+12,29.12825,29.12825,1171
1.52E+12,25.68828125,25.68828125,1055
1.52E+12,28.16028125,28.16028125,1194
1.52E+12,32.0083125,32.0083125,1347
1.52E+12,32.9043125,32.9043125,1321
1.52E+12,30.63234375,30.63234375,1238
1.52E+12,26.19234375,26.19234375,910
1.52E+12,15.62434375,15.62434375,905
1.52E+12,9.000375,9.000375,902
1.52E+12,2.576375,2.576375,897
1.52E+12,0.000375,0.000375,906
1.52E+12,0.000375,0.000375,905
1.52E+12,0.000375,0.000375,907
1.52E+12,0.000375,0.000375,906
1.52E+12,0.000375,0.000375,905
1.52E+12,0.000375,0.000375,906
1.52E+12,0.000375,0.000375,909
1.52E+12,0.000375,0.000375,912
1.52E+12,0.000375,0.000375,884
1.52E+12,0.000375,0.000375,957
1.52E+12,0.000375,0.000375,911
1.52E+12,0.000375,0.000375,911
1.52E+12,0.000375,0.000375,904
1.52E+12,0.000375,0.000375,904
1.52E+12,0.000375,0.000375,904
1.52E+12,0.000375,0.000375,902
1.52E+12,0.000375,0.000375,912
1.52E+12,0.000375,0.000375,908
1.52E+12,0.000375,0.000375,908
1.52E+12,0.000375,0.000375,907
1.52E+12,0.000375,0.000375,909
1.52E+12,0.000375,0.000375,903
1.52E+12,0.000375,0.000375,906
1.52E+12,0.000375,0.000375,902
1.52E+12,0.000375,0.000375,997
1.52E+12,0.000375,0.000375,1106
1.52E+12,5.536375,5.536375,1115
